STT,Biệt dược,SĐK,Hoạt chất,Chỉ định nguồn,Thuật ngữ gợi ý,Mã ICD-10,Tên ICD-10 chính thức,Cảnh báo mã
151,Lidocain hydroclorid 40mg/2ml,VD-23764-15,Lidocain,Gây tê tại chỗ/vùng | điều trị loạn nhịp thất cấp,Chăm sóc liên quan gây tê/gây mê/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
152,Lignospan standard,VN-16049-12,"Lidocain hydroclorid 36 mg + epinephrin 18,13 microgam/1,8 ml",Gây tê tại chỗ hoặc gây tê vùng trong thủ thuật nha khoa khi cần lidocain phối hợp chất co mạch.,Chăm sóc liên quan gây tê/gây mê/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
153,Lisiplus HCT 10/12.5,VD-17766-12,Lisinopril + hydroclorothiazid,Tăng huyết áp cần phối hợp ức chế men chuyển và lợi tiểu thiazid,Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
154,Lorista 50,383110010624,Losartan,Tăng huyết áp; bệnh thận do đái tháo đường typ 2 có protein niệu; suy tim khi không dung nạp ACEI; giảm nguy cơ đột quỵ ở một số bệnh nhân tăng huyết áp,Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
154,Lorista 50,383110010624,Losartan,Tăng huyết áp; bệnh thận do đái tháo đường typ 2 có protein niệu; suy tim khi không dung nạp ACEI; giảm nguy cơ đột quỵ ở một số bệnh nhân tăng huyết áp,Suy tim,I50.9,"Suy tim, không xác định",
154,Lorista 50,383110010624,Losartan,Tăng huyết áp; bệnh thận do đái tháo đường typ 2 có protein niệu; suy tim khi không dung nạp ACEI; giảm nguy cơ đột quỵ ở một số bệnh nhân tăng huyết áp,Đái tháo đường typ 2,E11.9,"Bệnh đái tháo đường típ 2, không kèm biến chứng",
154,Lorista 50,383110010624,Losartan,Tăng huyết áp; bệnh thận do đái tháo đường typ 2 có protein niệu; suy tim khi không dung nạp ACEI; giảm nguy cơ đột quỵ ở một số bệnh nhân tăng huyết áp,Bệnh than,A22.9,"Bệnh than, không xác định",
155,Lovastatin DWP 10mg,VD-35744-22,Lovastatin,Tăng cholesterol máu và dự phòng tim mạch khi phù hợp,Tăng cholesterol máu,E78.0,Tăng cholesterol máu đơn thuần,
155,Lovastatin DWP 10mg,VD-35744-22,Lovastatin,Tăng cholesterol máu và dự phòng tim mạch khi phù hợp,Tăng cholesterol máu,E78.5,"Tăng lipid máu, không xác định",
156,Lyoxatin 100mg/20ml,QLĐB-593-17,Oxaliplatin,"Ung thư đại-trực tràng, dạ dày và ung thư khác theo phác đồ",Ung thư đại tràng,C18.9,"U ác tính ở đại tràng, không xác định",
156,Lyoxatin 100mg/20ml,QLĐB-593-17,Oxaliplatin,"Ung thư đại-trực tràng, dạ dày và ung thư khác theo phác đồ",Ung thư trực tràng,C20,U ác tính ở trực tràng,
156,Lyoxatin 100mg/20ml,QLĐB-593-17,Oxaliplatin,"Ung thư đại-trực tràng, dạ dày và ung thư khác theo phác đồ",Bệnh ác tính/ung thư khác,C80.9,"U ác tính, vị trí nguyên phát không xác định",
157,Lyoxatin 50mg/10ml,893114115223,Oxaliplatin,"Ung thư đại-trực tràng, dạ dày và ung thư khác theo phác đồ",Ung thư đại tràng,C18.9,"U ác tính ở đại tràng, không xác định",
157,Lyoxatin 50mg/10ml,893114115223,Oxaliplatin,"Ung thư đại-trực tràng, dạ dày và ung thư khác theo phác đồ",Ung thư trực tràng,C20,U ác tính ở trực tràng,
157,Lyoxatin 50mg/10ml,893114115223,Oxaliplatin,"Ung thư đại-trực tràng, dạ dày và ung thư khác theo phác đồ",Bệnh ác tính/ung thư khác,C80.9,"U ác tính, vị trí nguyên phát không xác định",
158,Magnesi Sulfat Kabi 15%,VD-19567-13,Magnesi sulfat,Phòng và điều trị co giật do tiền sản giật/sản giật; hạ magnesi; xoắn đỉnh; cơn hen nặng chọn lọc,Loạn nhịp thất,I47.2,Nhịp nhanh thất,
158,Magnesi Sulfat Kabi 15%,VD-19567-13,Magnesi sulfat,Phòng và điều trị co giật do tiền sản giật/sản giật; hạ magnesi; xoắn đỉnh; cơn hen nặng chọn lọc,Hạ magnesi máu,E61.2,Thiếu magie,
158,Magnesi Sulfat Kabi 15%,VD-19567-13,Magnesi sulfat,Phòng và điều trị co giật do tiền sản giật/sản giật; hạ magnesi; xoắn đỉnh; cơn hen nặng chọn lọc,Hen phế quản,J45.9,"Hen phế quản [hen suyễn] [hen], không xác định",
158,Magnesi Sulfat Kabi 15%,VD-19567-13,Magnesi sulfat,Phòng và điều trị co giật do tiền sản giật/sản giật; hạ magnesi; xoắn đỉnh; cơn hen nặng chọn lọc,Co giật,R56.8,Co giật khác và/hoặc không xác định,
158,Magnesi Sulfat Kabi 15%,VD-19567-13,Magnesi sulfat,Phòng và điều trị co giật do tiền sản giật/sản giật; hạ magnesi; xoắn đỉnh; cơn hen nặng chọn lọc,Sản giật/tiền sản giật,O15.9,"Sản giật, không xác định thời kỳ xảy ra",Mã chỉ/chủ yếu ở nữ
159,Mannitol 250ml,VD-23168-15,Mannitol,Giảm áp lực nội sọ/phù não; giảm áp lực nội nhãn cấp; lợi niệu thẩm thấu trong một số tình huống chọn lọc,Phù não,G93.6,Phù não,
160,Marcaine Spinal Heavy 0.5%,VN-19785-16,Bupivacain,Gây tê tủy sống hoặc gây tê vùng trong phẫu thuật và sản khoa,Chăm sóc liên quan gây tê tủy sống/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
161,Medlon 16,VD-24620-16,Methylprednisolon,"Bệnh viêm, dị ứng, tự miễn, đợt cấp hen/COPD, phù và các chỉ định cần corticosteroid",Hen phế quản,J45.9,"Hen phế quản [hen suyễn] [hen], không xác định",
161,Medlon 16,VD-24620-16,Methylprednisolon,"Bệnh viêm, dị ứng, tự miễn, đợt cấp hen/COPD, phù và các chỉ định cần corticosteroid",Bệnh phổi tắc nghẽn mạn tính,J44.9,"Bệnh phổi tắc nghẽn mạn tính, không xác định",
161,Medlon 16,VD-24620-16,Methylprednisolon,"Bệnh viêm, dị ứng, tự miễn, đợt cấp hen/COPD, phù và các chỉ định cần corticosteroid",Bệnh tự miễn,M35.9,"Tổn thương hệ thống của mô liên kết, không xác định",
162,Meronem 1g,VN-17831-14,Meropenem,"Nhiễm khuẩn nặng/đa kháng: viêm phổi bệnh viện, ổ bụng, tiết niệu, da-mô mềm, huyết, viêm màng não",Viêm phổi,J18.9,"Viêm phổi, không xác định",
162,Meronem 1g,VN-17831-14,Meropenem,"Nhiễm khuẩn nặng/đa kháng: viêm phổi bệnh viện, ổ bụng, tiết niệu, da-mô mềm, huyết, viêm màng não",Viêm phúc mạc/nhiễm khuẩn ổ bụng,K65.9,"Viêm phúc mạc, không xác định",
162,Meronem 1g,VN-17831-14,Meropenem,"Nhiễm khuẩn nặng/đa kháng: viêm phổi bệnh viện, ổ bụng, tiết niệu, da-mô mềm, huyết, viêm màng não",Nhiễm khuẩn tiết niệu,N39.0,"Nhiễm trùng đường tiết niệu, vị trí không xác định",
162,Meronem 1g,VN-17831-14,Meropenem,"Nhiễm khuẩn nặng/đa kháng: viêm phổi bệnh viện, ổ bụng, tiết niệu, da-mô mềm, huyết, viêm màng não",Nhiễm khuẩn huyết,A41.9,"Nhiễm trùng hệ thống, không xác định",
162,Meronem 1g,VN-17831-14,Meropenem,"Nhiễm khuẩn nặng/đa kháng: viêm phổi bệnh viện, ổ bụng, tiết niệu, da-mô mềm, huyết, viêm màng não",Nhiễm khuẩn da và mô mềm,L08.9,"Nhiễm trùng khu trú ở da và/hoặc mô dưới da, không xác định",
162,Meronem 1g,VN-17831-14,Meropenem,"Nhiễm khuẩn nặng/đa kháng: viêm phổi bệnh viện, ổ bụng, tiết niệu, da-mô mềm, huyết, viêm màng não",Viêm màng não do vi khuẩn,G00.9,"Bệnh viêm màng não vi khuẩn, không xác định",
163,Meropenem 1g,VD-24339-16,Meropenem,"Nhiễm khuẩn nặng/đa kháng: viêm phổi bệnh viện, ổ bụng, tiết niệu, da-mô mềm, huyết, viêm màng não",Viêm phổi,J18.9,"Viêm phổi, không xác định",
163,Meropenem 1g,VD-24339-16,Meropenem,"Nhiễm khuẩn nặng/đa kháng: viêm phổi bệnh viện, ổ bụng, tiết niệu, da-mô mềm, huyết, viêm màng não",Viêm phúc mạc/nhiễm khuẩn ổ bụng,K65.9,"Viêm phúc mạc, không xác định",
163,Meropenem 1g,VD-24339-16,Meropenem,"Nhiễm khuẩn nặng/đa kháng: viêm phổi bệnh viện, ổ bụng, tiết niệu, da-mô mềm, huyết, viêm màng não",Nhiễm khuẩn tiết niệu,N39.0,"Nhiễm trùng đường tiết niệu, vị trí không xác định",
163,Meropenem 1g,VD-24339-16,Meropenem,"Nhiễm khuẩn nặng/đa kháng: viêm phổi bệnh viện, ổ bụng, tiết niệu, da-mô mềm, huyết, viêm màng não",Nhiễm khuẩn huyết,A41.9,"Nhiễm trùng hệ thống, không xác định",
163,Meropenem 1g,VD-24339-16,Meropenem,"Nhiễm khuẩn nặng/đa kháng: viêm phổi bệnh viện, ổ bụng, tiết niệu, da-mô mềm, huyết, viêm màng não",Nhiễm khuẩn da và mô mềm,L08.9,"Nhiễm trùng khu trú ở da và/hoặc mô dưới da, không xác định",
163,Meropenem 1g,VD-24339-16,Meropenem,"Nhiễm khuẩn nặng/đa kháng: viêm phổi bệnh viện, ổ bụng, tiết niệu, da-mô mềm, huyết, viêm màng não",Viêm màng não do vi khuẩn,G00.9,"Bệnh viêm màng não vi khuẩn, không xác định",
164,Metformin Stella 850 mg,VD-26565-17,Metformin,"Điều trị nền đái tháo đường typ 2, đặc biệt người thừa cân; dự phòng tiến triển đái tháo đường ở nhóm chọn lọc",Đái tháo đường typ 2,E11.9,"Bệnh đái tháo đường típ 2, không kèm biến chứng",
165,Methocarbamol MCN 1000,893110949724,Methocarbamol,"Điều trị hỗ trợ co thắt cơ xương cấp tính gây đau, kết hợp nghỉ ngơi và vật lý trị liệu",Co thắt cơ,M62.8,Rối loạn xác định khác của cơ,Có mã 4/5 ký tự cụ thể hơn
166,Methotrexat,893114226823,Methotrexat,"Bệnh ác tính, viêm khớp dạng thấp, vảy nến và thai ngoài tử cung theo phác đồ chuyên khoa",Viêm khớp dạng thấp,M06.9,"Viêm khớp dạng thấp, không xác định",Có mã 4/5 ký tự cụ thể hơn
166,Methotrexat,893114226823,Methotrexat,"Bệnh ác tính, viêm khớp dạng thấp, vảy nến và thai ngoài tử cung theo phác đồ chuyên khoa",Thai ngoài tử cung,O00.9,"Thai ngoài tử cung, không xác định",Mã chỉ/chủ yếu ở nữ
166,Methotrexat,893114226823,Methotrexat,"Bệnh ác tính, viêm khớp dạng thấp, vảy nến và thai ngoài tử cung theo phác đồ chuyên khoa",Bệnh ác tính/ung thư khác,C80.9,"U ác tính, vị trí nguyên phát không xác định",
166,Methotrexat,893114226823,Methotrexat,"Bệnh ác tính, viêm khớp dạng thấp, vảy nến và thai ngoài tử cung theo phác đồ chuyên khoa",Vảy nến,L40.9,"Bệnh vảy nến, không xác định",
167,"Methylergometrine Maleate injection 0,2mg - 1ml",VN-21836-19,Methylergometrin,Phòng và điều trị băng huyết sau sinh do đờ tử cung khi không chống chỉ định,Băng huyết sau sinh,O72.1,Băng huyết ngay sau đẻ,Mã chỉ/chủ yếu ở nữ
168,Metovomit,893110227424,Metoclopramid,Buồn nôn/nôn; liệt dạ dày do đái tháo đường; hỗ trợ thủ thuật tiêu hóa; dự phòng nôn sau phẫu thuật/hóa trị theo phác đồ,Liệt dạ dày,K31.8,Bệnh xác định khác của dạ dày và/hoặc tá tràng,
168,Metovomit,893110227424,Metoclopramid,Buồn nôn/nôn; liệt dạ dày do đái tháo đường; hỗ trợ thủ thuật tiêu hóa; dự phòng nôn sau phẫu thuật/hóa trị theo phác đồ,Hóa trị ung thư,Z51.1,Đợt hóa trị liệu điều trị u tân sinh,
168,Metovomit,893110227424,Metoclopramid,Buồn nôn/nôn; liệt dạ dày do đái tháo đường; hỗ trợ thủ thuật tiêu hóa; dự phòng nôn sau phẫu thuật/hóa trị theo phác đồ,Buồn nôn/nôn,R11,Buồn nôn và/hoặc nôn,
169,"Metronidazol 0,5g/ 100ml -DV23",VD34057-20,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Nhiễm Helicobacter pylori,B98.0,Vi khuẩn Helicobacter pylori [H.pylori] là nguyên nhân gây bệnh phân loại ở chương khác,Không dùng làm bệnh chính
169,"Metronidazol 0,5g/ 100ml -DV23",VD34057-20,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Viêm phúc mạc/nhiễm khuẩn ổ bụng,K65.9,"Viêm phúc mạc, không xác định",
169,"Metronidazol 0,5g/ 100ml -DV23",VD34057-20,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Viêm vùng chậu/phụ khoa,N73.9,"Bệnh viêm tiểu khung ở nữ giới, không xác định",Mã chỉ/chủ yếu ở nữ
169,"Metronidazol 0,5g/ 100ml -DV23",VD34057-20,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Nhiễm Trichomonas,A59.9,"Bệnh do nhiễm trichomonas, không xác định",
169,"Metronidazol 0,5g/ 100ml -DV23",VD34057-20,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Bệnh do amíp,A06.9,"Bệnh do a-míp, không xác định",
169,"Metronidazol 0,5g/ 100ml -DV23",VD34057-20,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Giardiasis,A07.1,Bệnh đường ruột do nhiễm giardia [lamblia],
169,"Metronidazol 0,5g/ 100ml -DV23",VD34057-20,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Hóa trị ung thư,Z51.1,Đợt hóa trị liệu điều trị u tân sinh,
170,Metronidazol 250,VD-22036-14,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Nhiễm Helicobacter pylori,B98.0,Vi khuẩn Helicobacter pylori [H.pylori] là nguyên nhân gây bệnh phân loại ở chương khác,Không dùng làm bệnh chính
170,Metronidazol 250,VD-22036-14,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Viêm phúc mạc/nhiễm khuẩn ổ bụng,K65.9,"Viêm phúc mạc, không xác định",
170,Metronidazol 250,VD-22036-14,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Viêm vùng chậu/phụ khoa,N73.9,"Bệnh viêm tiểu khung ở nữ giới, không xác định",Mã chỉ/chủ yếu ở nữ
170,Metronidazol 250,VD-22036-14,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Nhiễm Trichomonas,A59.9,"Bệnh do nhiễm trichomonas, không xác định",
170,Metronidazol 250,VD-22036-14,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Bệnh do amíp,A06.9,"Bệnh do a-míp, không xác định",
170,Metronidazol 250,VD-22036-14,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Giardiasis,A07.1,Bệnh đường ruột do nhiễm giardia [lamblia],
170,Metronidazol 250,VD-22036-14,Metronidazol,"Nhiễm vi khuẩn kỵ khí, áp xe, nhiễm khuẩn ổ bụng/phụ khoa; trichomonas, amip, giardiasis; phối hợp điều trị H. pylori",Hóa trị ung thư,Z51.1,Đợt hóa trị liệu điều trị u tân sinh,
171,Meza-Calci D3,VD-31110-18,Calci carbonat + colecalciferol,Bổ sung calci/vitamin D; dự phòng và hỗ trợ điều trị loãng xương; thiếu calci/vitamin D,Loãng xương,M81.0,Loãng xương sau mãn kinh,Có mã 4/5 ký tự cụ thể hơn | Mã chỉ/chủ yếu ở nữ
172,Mezapulgit,VD-19362-13,Attapulgit hoạt hóa + magnesi carbonat + nhôm hydroxyd,Điều trị triệu chứng tiêu chảy cấp không biến chứng; giảm khó chịu do tăng acid/đầy bụng tùy chế phẩm,Tiêu chảy,A09,Viêm dạ dày - ruột và/hoặc đại tràng do nhiễm trùng và/hoặc không xác định căn nguyên,Có mã 4/5 ký tự cụ thể hơn
173,Mezaterol 20,VD-25696-16,Bambuterol,Điều trị duy trì co thắt phế quản trong hen/COPD khi dạng hít không phù hợp; không dùng cắt cơn cấp,Hen phế quản,J45.9,"Hen phế quản [hen suyễn] [hen], không xác định",
173,Mezaterol 20,VD-25696-16,Bambuterol,Điều trị duy trì co thắt phế quản trong hen/COPD khi dạng hít không phù hợp; không dùng cắt cơn cấp,Bệnh phổi tắc nghẽn mạn tính,J44.9,"Bệnh phổi tắc nghẽn mạn tính, không xác định",
174,MG-TAN INJ 480ml,VN-14825-12,Dinh dưỡng tĩnh mạch: acid amin + glucose + lipid,Dinh dưỡng ngoài đường tiêu hóa toàn phần/bổ sung khi không thể nuôi dưỡng đường tiêu hóa đầy đủ,Suy dinh dưỡng,E46,Suy dinh dưỡng do thiếu protein - năng lượng không xác định,
175,MG-TAN Inj 960ml,VN-21330-18,Dinh dưỡng tĩnh mạch: acid amin + glucose + lipid,Dinh dưỡng ngoài đường tiêu hóa toàn phần/bổ sung khi không thể nuôi dưỡng đường tiêu hóa đầy đủ,Suy dinh dưỡng,E46,Suy dinh dưỡng do thiếu protein - năng lượng không xác định,
176,Mibetel HCT,893110409524,Telmisartan + hydroclorothiazid,Tăng huyết áp không kiểm soát đầy đủ bằng telmisartan hoặc hydroclorothiazid đơn trị,Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
177,Mirena (Hệ phóng thích thuốc qua dụng cụ đặt tử cung),640110020623,Levonorgestrel,Tránh thai dài hạn | điều trị rong kinh cơ năng; bảo vệ nội mạc trong liệu pháp estrogen ở trường hợp phù hợp,Rong kinh,N92.0,Kinh nguyệt quá nhiều và/hoặc thường xuyên với chu kỳ đều,Mã chỉ/chủ yếu ở nữ
177,Mirena (Hệ phóng thích thuốc qua dụng cụ đặt tử cung),640110020623,Levonorgestrel,Tránh thai dài hạn | điều trị rong kinh cơ năng; bảo vệ nội mạc trong liệu pháp estrogen ở trường hợp phù hợp,Tránh thai,Z30.0,Tư vấn chung và/hoặc tư vấn về các biện pháp tránh thai,
178,Misoprostol stella 200mcg,VD-13626-10,Misoprostol,"Dự phòng/điều trị loét do NSAID | đình chỉ thai nghén, khởi phát chuyển dạ hoặc xử trí băng huyết theo phác đồ sản khoa",Khởi phát chuyển dạ,O83.8,Can thiệp xác định khác hỗ trợ đẻ một thai,Mã chỉ/chủ yếu ở nữ
179,Morphin,893111093823,Morphin,Đau nặng cấp hoặc mạn | đau do ung thư; phù phổi cấp chọn lọc; giảm đau trong gây mê,Đau,R52.9,"Đau, không xác định",
179,Morphin,893111093823,Morphin,Đau nặng cấp hoặc mạn | đau do ung thư; phù phổi cấp chọn lọc; giảm đau trong gây mê,Chăm sóc liên quan gây tê/gây mê/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
180,Moxifloxacin IMP 400 mg/ 250mL,893115027624,Moxifloxacin,"Viêm phổi cộng đồng, nhiễm khuẩn da-mô mềm hoặc ổ bụng phức tạp khi vi khuẩn nhạy cảm và lựa chọn khác không phù hợp",Viêm phổi,J18.9,"Viêm phổi, không xác định",
180,Moxifloxacin IMP 400 mg/ 250mL,893115027624,Moxifloxacin,"Viêm phổi cộng đồng, nhiễm khuẩn da-mô mềm hoặc ổ bụng phức tạp khi vi khuẩn nhạy cảm và lựa chọn khác không phù hợp",Viêm phúc mạc/nhiễm khuẩn ổ bụng,K65.9,"Viêm phúc mạc, không xác định",
180,Moxifloxacin IMP 400 mg/ 250mL,893115027624,Moxifloxacin,"Viêm phổi cộng đồng, nhiễm khuẩn da-mô mềm hoặc ổ bụng phức tạp khi vi khuẩn nhạy cảm và lựa chọn khác không phù hợp",Nhiễm khuẩn da và mô mềm,L08.9,"Nhiễm trùng khu trú ở da và/hoặc mô dưới da, không xác định",
181,Mycotrova 1000,VD-27941-17,Methocarbamol,"Điều trị hỗ trợ co thắt cơ xương cấp tính gây đau, kết hợp nghỉ ngơi và vật lý trị liệu",Co thắt cơ,M62.8,Rối loạn xác định khác của cơ,Có mã 4/5 ký tự cụ thể hơn
182,Mydrin-P 10ml,VN-21339-18,"Tropicamid 0,5% + phenylephrin hydroclorid 0,5%","Gây giãn đồng tử và liệt điều tiết tạm thời phục vụ khám, soi đáy mắt hoặc thủ thuật chẩn đoán nhãn khoa.",Khám chuyên khoa mắt,Z01.0,Khám mắt và/hoặc kiểm tra thị lực,
182,Mydrin-P 10ml,VN-21339-18,"Tropicamid 0,5% + phenylephrin hydroclorid 0,5%","Gây giãn đồng tử và liệt điều tiết tạm thời phục vụ khám, soi đáy mắt hoặc thủ thuật chẩn đoán nhãn khoa.",Khám/chẩn đoán hình ảnh,Z01.8,Khám chuyên khoa xác định khác,
183,Naphazolin,VD-29627-18,Naphazolin,Nghẹt mũi ngắn hạn do cảm lạnh hoặc viêm mũi,Viêm mũi,J31.0,Viêm mũi mạn tính,
184,"Natri bicarbonat 1,4%",VD-25877-16,Natri bicarbonat,Toan chuyển hóa nặng; tăng kali máu chọn lọc; kiềm hóa nước tiểu trong một số ngộ độc; mất bicarbonat,Tăng kali máu,E87.5,Tăng kali máu,
184,"Natri bicarbonat 1,4%",VD-25877-16,Natri bicarbonat,Toan chuyển hóa nặng; tăng kali máu chọn lọc; kiềm hóa nước tiểu trong một số ngộ độc; mất bicarbonat,Toan chuyển hóa,E87.2,Nhiễm toan,
185,"Natri clorid 0,9% 100ml",893110118423,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Hạ natri máu,E87.1,Giảm áp suất thẩm thấu và/hoặc giảm natri máu,
185,"Natri clorid 0,9% 100ml",893110118423,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Mất nước/giảm thể tích,E86,Giảm thể tích,
185,"Natri clorid 0,9% 100ml",893110118423,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Chăm sóc vết thương,Z48.0,Chăm sóc liên quan băng và/hoặc vết khâu phẫu thuật,
185,"Natri clorid 0,9% 100ml",893110118423,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Chăm sóc y tế khác/dung môi pha thuốc,Z51.8,Chăm sóc y tế xác định khác,
186,"Natri clorid 0,9% 500ml",893110118423,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Hạ natri máu,E87.1,Giảm áp suất thẩm thấu và/hoặc giảm natri máu,
186,"Natri clorid 0,9% 500ml",893110118423,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Mất nước/giảm thể tích,E86,Giảm thể tích,
186,"Natri clorid 0,9% 500ml",893110118423,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Chăm sóc vết thương,Z48.0,Chăm sóc liên quan băng và/hoặc vết khâu phẫu thuật,
186,"Natri clorid 0,9% 500ml",893110118423,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Chăm sóc y tế khác/dung môi pha thuốc,Z51.8,Chăm sóc y tế xác định khác,
187,"Natri Clorid 0,9% EP",VD-32723-19,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Hạ natri máu,E87.1,Giảm áp suất thẩm thấu và/hoặc giảm natri máu,
187,"Natri Clorid 0,9% EP",VD-32723-19,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Mất nước/giảm thể tích,E86,Giảm thể tích,
187,"Natri Clorid 0,9% EP",VD-32723-19,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Chăm sóc vết thương,Z48.0,Chăm sóc liên quan băng và/hoặc vết khâu phẫu thuật,
187,"Natri Clorid 0,9% EP",VD-32723-19,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Chăm sóc y tế khác/dung môi pha thuốc,Z51.8,Chăm sóc y tế xác định khác,
188,Natriclorid 10%,VD-23169-15,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Hạ natri máu,E87.1,Giảm áp suất thẩm thấu và/hoặc giảm natri máu,
188,Natriclorid 10%,VD-23169-15,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Mất nước/giảm thể tích,E86,Giảm thể tích,
188,Natriclorid 10%,VD-23169-15,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Chăm sóc vết thương,Z48.0,Chăm sóc liên quan băng và/hoặc vết khâu phẫu thuật,
188,Natriclorid 10%,VD-23169-15,Natri clorid,Bù dịch ngoại bào; pha loãng thuốc | điều trị hạ natri/hạ clorid; rửa vết thương với dạng dùng ngoài,Chăm sóc y tế khác/dung môi pha thuốc,Z51.8,Chăm sóc y tế xác định khác,
189,Natrixam 1.5mg/5mg,300110029823,"Indapamid giải phóng kéo dài 1,5 mg + amlodipin 5 mg","Điều trị thay thế tăng huyết áp ở người bệnh đã được kiểm soát bằng indapamid 1,5 mg và amlodipin 5 mg dùng riêng rẽ.",Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
190,Navelbine,300110185525,Vinorelbin,Ung thư phổi không tế bào nhỏ và ung thư vú tiến triển theo phác đồ,Ung thư vú,C50.9,"U ác tính ở vú, không xác định",
